"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"Z0111C0","市高往東  環河中華",41.826668,20.8,150,0,121.506955002167,25.0499479957493,121.507057986923,25.0504089798186,2016-05-09,"14_30"
"2",2,"Z0120C0","市高往東  中華承德",65.59615,8.9,209.5,1,121.507057986923,25.0504089798186,121.514669994797,25.0488470329132,2016-05-09,"14_30"
"3",3,"Z0130A0","市高往東  承德中山",70.696075,9.066667,306.5,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-09,"14_30"
"4",4,"Z0130A1","市高往東  中山林森",73.97611,8.466666,293,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-09,"14_30"
"5",5,"Z0140C0","市高往東  新生建國",74.84404,9.2,218,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-09,"14_30"
"6",6,"Z0140C1","市高往東  建國復興",64.3843,10.8,247,1,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-09,"14_30"
"7",7,"Z0150C0","市高往東  復興敦化",64.420746,12.733334,347,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-09,"14_30"
"8",8,"Z0150C1","市高往東  敦化上方",63.448864,2.7999997,177,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-09,"14_30"
"9",9,"Z0150C2","市高往東  敦化延吉",66.74754,9.666666,305.5,1,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-09,"14_30"
"10",10,"Z0160C0","市高往東  延吉永吉",61.370968,14.5,249,1,121.557631047561,25.0447609827095,121.569229955283,25.0455460393449,2016-05-09,"14_30"
"11",11,"Z0380F0","正氣橋  麥一市民",56.647728,6.8,91.5,0,121.569772042499,25.0461890146634,121.569771009262,25.0459439976653,2016-05-09,"14_30"
"12",12,"Z0390G0","市高往西  永吉光復",23.859297,9.5,203.5,2,121.569771009262,25.0459439976653,121.567512021271,25.0458909827904,2016-05-09,"14_30"
"13",13,"Z03A0G1","市高往西  光復延吉",44.21533,18.1,275,2,121.567512021271,25.0458909827904,121.557667048171,25.0454680148637,2016-05-09,"14_30"
"14",14,"Z03B0G0","市高往西  延吉復興",74.77027,6.7333336,297.5,0,121.557667048171,25.0454680148637,121.536126020332,25.0450250384754,2016-05-09,"14_30"
"15",15,"Z03C0G0","市高往西  復興建國",51.358974,10.9,239.5,1,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-09,"14_30"
"16",16,"Z03C0G1","市高往西  建國新生",70.24473,10.8,237,0,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-09,"14_30"
"17",17,"Z03D0G0","市高往西  新生林森",66.984375,3.7333336,256,1,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-09,"14_30"
"18",18,"Z03D0G1","市高往西  林森中山",66.50155,9.8,323,1,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-09,"14_30"
"19",19,"Z03E0G0","市高往西  承德重慶",51.75732,17.7,242.5,2,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-05-09,"14_30"
"20",20,"Z03E0G1","市高往西  重慶中華",51.13091,15.5,276,1,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-05-09,"14_30"
"21",21,"Z5062G0","市高往西  中華環河",49,14,136,1,121.507228991091,25.0510220354424,121.497868957546,25.0400649616175,2016-05-09,"14_30"
"22",22,"Z1001B0","建國快往北 辛亥高架接建高",85.58064,2.9,63,0,121.536995038696,25.0228289705983,121.53770600753,25.0229289599307,2016-05-09,"14_30"
"23",23,"Z1010A0","建國快往北 辛亥信義",61.733334,9.066668,221,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-09,"14_30"
